date,spread_10y_2y_ma3,spread_10y_3m_ma3,cpi_yoy_pct_ma3,indpro_yoy_pct_ma3,unrate_chg_3m_ma3,UNRATE,recession_next_6m
1994-11-30,0.9622539682539681,2.617904761904762,2.7260490257656156,6.286286467753233,-0.2999999999999998,5.6,0
1994-12-31,0.6820952380952381,2.3990158730158733,2.6033441444400336,6.542837920732517,-0.36666666666666686,5.5,0
1995-01-31,0.4344285714285716,2.1443492063492067,2.690318573519719,6.732493769672099,-0.33333333333333365,5.6,0
1995-02-28,0.2848934837092729,1.819015873015873,2.77706722653445,6.781383226313516,-0.2666666666666666,5.4,0
1995-03-31,0.3531750572082378,1.5674492753623188,2.8403395535729303,6.378283137812883,-0.16666666666666638,5.4,0
1995-04-30,0.42725400457665835,1.3496948893974066,2.9250684211965443,5.749336986354014,-0.03333333333333292,5.8,0
1995-05-31,0.46189515290201805,1.1013615560640737,3.0102878821048815,5.192052688158814,0.09999999999999994,5.6,0
1995-06-30,0.46960925039872414,0.8462759170653907,3.095413472227,4.8157851275625285,0.1999999999999996,5.6,0
1995-07-31,0.47069696969697034,0.6663636363636366,2.997143031975417,4.515261813481257,0.09999999999999964,5.7,0
1995-08-31,0.48588801054018455,0.7122332015810274,2.830078230853061,4.42960739059216,0.06666666666666672,5.7,0
1995-09-30,0.46563043478260874,0.7903695652173912,2.664283109423193,4.494256947468096,2.9605947323337506e-16,5.6,0
1995-10-31,0.4155034506556241,0.762194962042788,2.6356570748867245,4.411148929789529,-0.033333333333333215,5.5,0
1995-11-30,0.39700793650793614,0.5921190476190477,2.630997618430234,3.9580892604429323,-0.10000000000000024,5.6,0
1995-12-31,0.39550793650793636,0.4767857142857146,2.626475813438733,3.2440922528636285,-0.10000000000000024,5.6,0
1996-01-31,0.4596349206349206,0.44392857142857167,2.641938179699643,2.6161204806472145,-2.9605947323337506e-16,5.6,0
1996-02-29,0.5690000000000003,0.5868015873015876,2.6797914634978226,2.6683633602637222,0.0,5.5,0
1996-03-31,0.6425396825396824,0.8379523809523809,2.78388138826285,2.85127167597733,-0.033333333333333215,5.5,0
1996-04-30,0.6472366522366523,1.145196248196248,2.7978736873916525,3.6901282823447956,-0.06666666666666643,5.6,0
1996-05-31,0.6011760461760464,1.3925901875901878,2.834559119397472,4.081799201549256,0.0,5.6,0
1996-06-30,0.6036363636363644,1.5624393939393946,2.8270947746627777,4.722653924332343,-0.03333333333333351,5.3,0
1996-07-31,0.6174242424242431,1.6103181818181824,2.8439883097054985,5.113702148475948,-0.06666666666666672,5.5,0
1996-08-31,0.605606060606061,1.5647121212121216,2.8390577015651464,5.1333867958994714,-0.2666666666666666,5.1,0
1996-09-30,0.5999393939393943,1.536045454545455,2.900074323344388,5.080661041973818,-0.2333333333333331,5.2,0
1996-10-31,0.6084242424242428,1.4837727272727277,2.959585681304773,4.947389894713702,-0.2999999999999998,5.2,0
